,accuracy,recovery memory gene,FP,precision,recovery,repeated precision,repeated recovery
AE3,0.651502394,0.378451883,1215,0.471153846,0.771771772,0.636363636,0.636636637
BIDDY_D0,0.677747667,0.446890479,1453,0.958333333,0.888888889,0.958333333,0.888888889
BIDDY_D6,0.664327997,0.430203499,1693,0.875,0.786885246,0.913043478,0.754098361
BIDDY_D6_2,0.649202288,0.411428571,1917,0.714285714,0.777777778,1,0.444444444
BIDDY_D15,0.654199031,0.379249912,1132,0.941176471,0.894736842,0.941176471,0.894736842
BIDDY_D0_2,0.654606027,0.387123746,1364,0.781818182,0.774647887,0.846153846,0.732394366
BIDDY_D15_2,0.663356932,0.408478605,1377,0.882352941,0.85,0.882352941,0.85
LK_D2_exp1_library_d2_1,0.654634751,0.415730337,1862,0.447368421,0.64957265,0.5,0.512820513
LK_D2_exp1_library_d2_2,0.672792417,0.452655889,1864,0.453125,0.659793814,0.586956522,0.474226804
LK_D2_exp1_library_d2_3,0.654358651,0.421390999,2019,0.327868852,0.61928934,0.424242424,0.335025381
