,accuracy,recovery memory gene,FP,precision,recovery,ensembling precision,ensembling recovery
AE4,0.8933426769446391,0.175513698630137,357,0.18394648829431437,0.9450222882615156,0.37339055793991416,0.5141158989598811
BIDDY_D0,0.8330093113680549,0.27399890290729567,617,0.9615384615384616,0.9629629629629629,0.96,0.9259259259259259
BIDDY_D0_2,0.8402481765653121,0.2516648168701443,676,0.75,0.7887323943661971,0.803921568627451,0.7183098591549296
BIDDY_D6,0.8559478600020528,0.2853589196872779,796,0.84,0.819672131147541,0.875,0.7868852459016393
BIDDY_D6_2,0.8779575922661966,0.30773606370875994,1068,1.0,0.7777777777777778,1.0,0.6666666666666666
BIDDY_D15,0.8545647558386412,0.29035639412997905,709,0.9411764705882353,0.8947368421052632,0.9411764705882353,0.8947368421052632
BIDDY_D15_2,0.8658857526188142,0.2916337805840568,804,0.9444444444444444,0.9,1.0,0.75
CD8,0.6359487213906974,0.7939001848428835,4755,0.47540983606557374,0.6666666666666666,0.5074626865671642,0.6923076923076923
L1210,0.5850030564423012,0.7708091366627952,5518,0.7222222222222222,0.6060606060606061,0.7222222222222222,0.6060606060606061
LK_D2_exp1_library_d2_1,0.8881452185376737,0.024652622142536978,30,0.18181818181818182,0.7521367521367521,0.21052631578947367,0.3247863247863248
LK_D2_exp1_library_d2_2,0.8909657320872274,0.028084714548802948,24,0.18571428571428572,0.7216494845360825,0.24,0.25773195876288657
LK_D2_exp1_library_d2_3,0.9141882257078835,0.0337995337995338,27,0.08695652173913043,0.700507614213198,0.13043478260869565,0.233502538071066
LK_LSK_D2_exp3_library_d2_1,0.9342560553633218,0.04653061224489796,48,0.3023255813953488,0.7543859649122807,0.5882352941176471,0.2982456140350877
LK_LSK_D2_exp3_library_d2_2,0.8966477455285423,0.04626865671641791,13,0.4418604651162791,0.7350427350427351,0.5806451612903226,0.5299145299145299
LK_LSK_D2_exp3_library_d2_3,0.9191693290734825,0.05206349206349206,25,0.3829787234042553,0.706766917293233,0.6521739130434783,0.3458646616541353
LK_LSK_D2_exp3_library_d2_4,0.9210861940695079,0.04608294930875576,36,0.21875,0.6956521739130435,0.3,0.43478260869565216
LK_LSK_D2_exp3_library_d2_5,0.9014458081963803,0.04061696658097686,29,0.36585365853658536,0.6721311475409836,0.52,0.4098360655737705
LSK_D2_exp1_library_LSK_d2_1,0.9073008350259535,0.024301336573511544,37,0.028985507246376812,0.7624309392265194,0.0,0.11049723756906077
LSK_D2_exp1_library_LSK_d2_2,0.9038177137536287,0.033351862145636464,17,0.05581395348837209,0.7818181818181819,0.13043478260869565,0.08363636363636363
LSK_D2_exp1_library_LSK_d2_3,0.9187414986102076,0.026948288419519302,38,0.03361344537815126,0.7628205128205128,0.13333333333333333,0.09615384615384616
LSK_D2_exp2_library_d2A_1,0.910262891809909,0.045866364665911666,90,0.1864406779661017,0.7195121951219512,0.21739130434782608,0.2804878048780488
LSK_D2_exp2_library_d2A_2,0.891225453641561,0.05171645118145341,61,0.20754716981132076,0.660436137071651,0.52,0.1557632398753894
LSK_D2_exp2_library_d2A_3,0.9002857424376786,0.060807600950118765,47,0.16875,0.7064017660044151,0.37142857142857144,0.1545253863134658
LSK_D2_exp2_library_d2A_4,0.8850843577365252,0.05831265508684864,32,0.09659090909090909,0.7125506072874493,0.2682926829268293,0.1659919028340081
LSK_D2_exp2_library_d2A_5,0.9035303372996362,0.06298828125,43,0.13846153846153847,0.7289719626168224,0.3953488372093023,0.16074766355140188
LSK_D2_exp2_library_d2B_1,0.8942821085331522,0.06241758241758242,45,0.2,0.718562874251497,0.53125,0.19161676646706588
LSK_D2_exp2_library_d2B_2,0.8820809248554913,0.04763894692854158,67,0.15217391304347827,0.7244094488188977,0.32,0.1968503937007874
LSK_D2_exp2_library_d2B_3,0.890855314197052,0.057057057057057055,53,0.078125,0.6844919786096256,0.2222222222222222,0.1443850267379679
LSK_D2_exp2_library_d2B_4,0.8832984970638001,0.05245766212308963,51,0.13793103448275862,0.6823529411764706,0.2,0.14705882352941177
LSK_D2_exp2_library_d2B_5,0.8752633796881585,0.15816326530612246,553,0.21,0.7017543859649122,0.3611111111111111,0.25263157894736843
AE3,0.8062864797627022,0.27303042934556065,561,0.57,0.7867867867867868,0.6136363636363636,0.7267267267267268
